loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z)
2023-11-21T16:55:34.167+01:00,6409.477321791667,-0.10760498046875,0.7703094482421875,-0.799163818359375,6409.459887791667,-2.541748828293207,-0.06669535592358888,-1.113739993978714,1.425275683403015,0.8982939124107361,0.2523323595523834,-0.05945569276809692,0.05386233329772949,-0.3997755646705627,XArbitraryZVertical,-0.1831061098966769,0.4962946491838331,-0.8053605592307946,0.2675038438741082,-0.02941142581403255,0.8973554372787476,-0.4403275549411774,0,0,0,-1,-1
2023-11-21T16:55:34.187+01:00,6409.497259791667,0.0059051513671875,0.657958984375,-0.852294921875,6409.479825791667,-2.529804478767264,-0.03637382116885662,-1.087416948724364,1.207416653633118,1.04902195930481,0.1439887136220932,-0.09070304781198502,-0.1151198148727417,-0.3346970677375793,XArbitraryZVertical,-0.1706019424535698,0.4885300652674681,-0.8131004158075537,0.2666480076125912,-0.0169018842279911,0.885429322719574,-0.4644666910171509,0,0,0,-1,-1
2023-11-21T16:55:34.206+01:00,6409.517198791667,0.0961761474609375,0.8094940185546875,-0.9483795166015625,6409.499763791667,-2.52478943210358,-0.009637837131839888,-1.064027726325063,1.204984068870544,1.196940064430237,0.04421872645616531,0.01058292575180531,-0.2163584232330322,-0.3669628202915192,XArbitraryZVertical,-0.1579298496660791,0.48207069009329,-0.8203765955157077,0.2639096445649113,-0.00467769568786025,0.874317467212677,-0.4853320121765137,0,0,0,-1,-1
2023-11-21T16:55:34.226+01:00,6409.537136791667,0.1798553466796875,0.9363555908203125,-1.098037719726562,6409.519702791667,-2.524469574935962,0.01587385185685218,-1.03599626396454,1.745129227638245,1.328279137611389,-0.009175656363368034,0.08808613568544388,-0.05087631940841675,-0.4387744069099426,XArbitraryZVertical,-0.1437942043364985,0.4738361382399846,-0.8289469100044725,0.2600958199743764,0.008090075105428696,0.8603705763816833,-0.5096051096916199,0,0,0,-1,-1
2023-11-21T16:55:34.246+01:00,6409.557075791667,0.2655181884765625,1.072677612304688,-1.095306396484375,6409.539640791667,-2.52672210450339,0.04103693910953629,-0.9931800947145566,2.450848340988159,1.374740719795227,0.07629519701004028,0.1574543714523315,0.09858900308609009,-0.5524688363075256,XArbitraryZVertical,-0.1269516278179418,0.4594550264806038,-0.8407701301919166,0.2566903248097528,0.02240104600787163,0.8377666473388672,-0.5455687046051025,0,0,0,-1,-1
2023-11-21T16:55:34.266+01:00,6409.577013791667,0.277496337890625,1.078399658203125,-1.106536865234375,6409.559579791667,-2.526360329880343,0.06925772795763477,-0.9424839492409197,2.620700120925903,1.453497171401978,0.181147500872612,0.2248424589633942,0.2636570334434509,-0.5089350938796997,XArbitraryZVertical,-0.1079808497782425,0.4417629992726195,-0.8534298035429898,0.254643262430451,0.04067579284310341,0.8090206384658813,-0.5863711833953857,0,0,0,-1,-1
2023-11-21T16:55:34.286+01:00,6409.596952791667,0.3213958740234375,1.211822509765625,-1.088485717773438,6409.579517791667,-2.52724506983373,0.09879928984097074,-0.8862322571620624,3.102844476699829,1.584626317024231,0.2558889389038086,0.21512371301651,0.3037049174308777,-0.4772850871086121,XArbitraryZVertical,-0.08696092832297775,0.4216775501673167,-0.8664837866349034,0.2526494076680414,0.06237269937992096,0.7746948003768921,-0.6292516589164734,0,0,0,-1,-1
2023-11-21T16:55:34.306+01:00,6409.616890791667,0.3610382080078125,1.264007568359375,-1.05914306640625,6409.599456791667,-2.528729740284579,0.1310582170989807,-0.8210971968351879,3.30199670791626,1.768255829811096,0.4187714159488678,0.2323458790779114,0.4799286723136902,-0.4129107594490051,XArbitraryZVertical,-0.06289331748554378,0.397815257151911,-0.8801967437517639,0.2510801924398224,0.08905007690191269,0.7318938970565796,-0.6755748987197876,0,0,0,-1,-1
2023-11-21T16:55:34.326+01:00,6409.636829791667,0.379302978515625,1.179275512695312,-1.107666015625,6409.619394791667,-2.526998208877637,0.1695909166503624,-0.7567016034165072,2.900385856628418,1.992640972137451,0.6714759469032288,0.2383182048797607,0.5774807333946228,-0.3424696922302246,XArbitraryZVertical,-0.03631549753265412,0.3746258280926661,-0.8920236319213586,0.2502612239423019,0.1227200701832771,0.686526894569397,-0.7166733741760254,0,0,0,-1,-1
2023-11-21T16:55:34.346+01:00,6409.656767791667,0.4256591796875,1.189804077148438,-1.125198364257812,6409.639333791667,-2.518444128957964,0.2183913090659446,-0.7061344627352938,2.058424234390259,2.299932479858398,0.9177757501602173,0.2144521176815033,0.5303781628608704,-0.3648629188537598,XArbitraryZVertical,-0.00803619092575442,0.358516254016347,-0.8993710286067398,0.2500667297632119,0.1648509353399277,0.6488974094390869,-0.7428030371665955,0,0,0,-1,-1
